reviewerID,asin,overall
ACQ6ZT94NTQZB,B004LWZW5G,4.0
A1IUI3CJUMB7J0,B00003CXQX,4.0
A3KUUII2GSHN7T,B0006FO9JM,4.0
A1UK9WB48KXR9S,6304277385,4.0
A1GGOC9PVDXW7Z,6302010144,4.0
A2FS38D943KX12,B00005IC54,1.0
A1JM52GL0KDRGW,6304415346,5.0
A3PAMMMH9F56K9,B00005JL3T,2.0
A3IXPFN5DU9Z9L,B00003CXOY,4.0
A21VL7TF0TZ7KT,6300271846,4.0
A2EDZH51XHFA9B,B0034G4P94,5.0
A3FL6CIO8QIJ2F,1417065818,5.0
AQTNM295NH6RQ,B00008HCA5,5.0
A1WYIDGR8ZG21X,6303201261,5.0
A1K91NL0QA3TC9,B000C3L27K,5.0
A3KY68OTSNHM3G,B0000633ZP,5.0
A2QFO64UAU5N18,B008JFUPPI,2.0
A1XMVQI9WE07QF,B00013RBX0,5.0
AMVMEHGE80PSI,B0000AVHAO,5.0
A268EEWUXYCA8Q,B000WC389G,3.0
A3PWF2AQ5XYALW,6304117752,5.0
A3QN15QBNGI3AM,B002ZG99IG,5.0
AYCJSA9HR7TKO,B000KF0DVQ,4.0
AWFPO0SDMD4QR,0790729989,5.0
A3AUECYM0M0YSX,B00029QXAK,2.0
A2CUP34WSXH7NC,B00003CXPJ,5.0
A3E973VF7BH79T,B00005JON3,4.0
A23UB49EG29MVT,6301980727,3.0
A27DHFFWMH042Y,6303149200,4.0
A1YF8X4XYH7IQY,B003CP1T50,5.0
AXP8ULN4FULTS,B004EPZ01G,5.0
A15W2D3WJW7NP7,B00005JPGI,3.0
A2CW9IQAPFEYLM,630264223X,4.0
ANGH6401L9Y0T,0792140346,4.0
A3LX5HJUVX8IX7,B005BYBZBS,5.0
A27FR2C67JPDRS,B00005JLQH,5.0
A3N95R1VKWROWF,B000K3I7SO,1.0
AZB4CQ9JZSUQB,6305513406,5.0
A1IRZ3TMRBMVKK,B000RO6K80,5.0
A3GBS2HNVVTTHW,1558807780,5.0
A2O97GKCSISM3F,B000BVM1S2,4.0
AB53UWILW4F8R,0967417708,3.0
A1J9K0940RKGKG,6303212263,5.0
A18IQME5DCSH2L,B000654YIS,1.0
ASXW7UQXGMNJL,B001IZNIZU,3.0
AMJ5KCNFH0NKV,B00009QG5O,5.0
ABNLTWYTCY7MF,B007X4ECKU,5.0
A17S1450Y06C86,6304111347,5.0
A103VMN9OENIN6,B00005JNY3,5.0
A3N94LNED0IF0R,630354231X,4.0
A29TKSIWA3JKF3,157362408X,5.0
A1KM8XML9UL517,B0009I7NH6,5.0
AGGNI1ADS1C3Y,6303637574,5.0
A2N84VEBTQFDSU,6303212263,5.0
A2O05Y2BFH1NT6,6300181111,5.0
AYG1U47VFZ165,B00DL479DS,2.0
A1EX4410F46C8O,B003Q7B71K,3.0
A2HWD9PTM7RBXN,B000035P81,3.0
A22RY8N8CNDF3A,B000R7NBMK,5.0
A4BUQGWF4FLV1,B000065V43,5.0
A2RMQWK75EEN7R,0788860704,3.0
AS7B4W4KOPQNV,B00003CXFU,5.0
A2B3Z2QHW3V35S,6305304750,5.0
A2XKJ1KX6XUHYP,B00DL47ORO,5.0
A2VXHH0ZZ1TB5P,B00005JMA8,5.0
A2WCRX5OQM6FED,6301963733,4.0
A3FL6CIO8QIJ2F,6304697961,5.0
A3RB6NQOLOBXYD,0780618556,5.0
A23DFB8IUTIZM0,B00004Y7S5,5.0
A1N8KC4BF42S35,B002ZG9904,5.0
AQ0EO10KTRJ4V,B00005JNY3,3.0
A3926GEZY6K81K,1591791847,5.0
ABSX5TGEGRH76,B00005JMJG,4.0
A2NASV0Q7BUW95,B002V3HT2G,4.0
ALA7ITRHEN2MO,B0001XAPZ6,5.0
A29QM4M1KVTWVF,B005LZW8FO,4.0
A1C80B497LCYKA,B00000F17A,5.0
A2T2OVNIRFWS4R,B002VJVCGY,4.0
A149UFQAIE3ETS,B002UZCJ8Y,2.0
ACMOLKXVKQ06Z,B0091NWBC2,3.0
ANBQIWHO9JRFS,B0007N1JC8,4.0
AZ5250G2U795I,B00005JLKN,3.0
A328S9RN3U5M68,B00005JM48,4.0
A141C2U3YLNI0D,1415743762,5.0
A3R2YB0WTTB0IJ,B000RGN2IY,4.0
A3DGVB3T5QJNRE,B002NXSRVG,5.0
A3UDYY6L2NH3JS,0783211856,4.0
A1XV95ID4PBQSH,6301670140,5.0
A1YW6HROR9J00G,B00127RAJY,5.0
A12KC4IDE1EWA0,B00006CXHU,4.0
A2UUP58XPQW3GF,7883639161,4.0
A1EB6DSPG3NETD,B0009JQN6M,5.0
A3572FTYUQQW3P,B000L212HC,3.0
A2EXDP1BBSAFQ6,B00004TVUD,3.0
A3C6CZC2JP67VK,B000RJO578,4.0
A16QODENBJVUI1,6302415993,5.0
A2JP0URFHXP6DO,B0002Y0QV2,5.0
A2LW5AL0KQ9P1M,B000FC2HRW,1.0
AO770DNN97M2M,630027179X,5.0
A2CT2SA6KFE8GC,B000WMFZII,4.0
A25K6IQCFX5SDM,1404979964,5.0
A3PIPHWD45VOGI,630305899X,4.0
A1XXBVRRNGBG5Y,B0000633ZP,3.0
A12RCVRE3T6L8Y,B00005JOHI,5.0
A1BJJVV2B5VLUQ,B0006JMLPM,1.0
A2POT13FER5L82,B0007Y3XRG,1.0
ABNI7Z61A82R4,B000H5U5V2,4.0
A17SZSI44O7NMV,6302787068,5.0
A153NZD2WZN5S3,6303495591,3.0
A1ZTSOBAPOWT3,B00005JLTM,4.0
ADFW24FWYAECI,B00013WWSO,5.0
A3RRBPUGD7UOSP,B00005RDSN,4.0
A7QZOJZX85TIR,B004LWZWFQ,3.0
ASKQ5H7P9YCYW,B005BYBZR2,5.0
A2OYPRPEGG9UYB,B004IK30PA,5.0
A1J5TC13BSPA2M,630526323X,5.0
AKEK0QG17W5U8,B005WV6YW0,1.0
A1X1RWRPSAL206,B002BIULP8,3.0
A30LSXMACE06J9,0783229585,4.0
A1GHUN5HXMHZ89,B00274SIUG,4.0
A35ZJY01RQSY5O,B001MT7ZEW,2.0
A2809U2S14N0K1,B005IZLPKQ,4.0
A1A535TCGNMVPI,B00004W9C7,5.0
A35ZK3M8L9JUPX,6303908306,5.0
A1IQE2AREVCQWY,B0006FO9B0,5.0
AN27XT3ZLC6QI,B000UAFDR0,3.0
A3I6PVPLOWPPS2,B003Y5H5AG,4.0
A314Q8E30X5SCY,B001DELWZY,5.0
A1DW3MU0984LSS,B000HWZ4E8,5.0
AKZ0VCSGG1YIS,B00009VU05,2.0
A2EDZH51XHFA9B,B00005B20D,5.0
AY69ZK7G6CNYJ,0767811100,5.0
A18NPNRL7UB7DD,B000FI9OEK,5.0
A4CHIXX0HOB3G,6304401132,1.0
A1GB1Q193DNFGR,0792838033,1.0
A12X2J7AVZ04IQ,B000VY1EYG,5.0
A14OYR0THYN98B,B008JFUO72,4.0
A2HSE6PMI3C4Y7,B000WFW12S,4.0
A2GRC6IJRA7W4H,0767817478,5.0
AEFZF3CRXXHMI,B0018CWEYO,5.0
A1K6K23WG0IBWE,B001P9KR8U,1.0
A3GQKB1KF0CRPE,0792136926,3.0
AKL7KV8RKCO3Y,6304369220,4.0
AHCVWPLA1O4X8,B00005JKNB,4.0
A11WI1HVHFK2X,B00003CXE4,2.0
A5DIAZ5GT3MC,0767834739,1.0
ARNWCLQZFQECA,B00000JMOD,2.0
AV6QDP8Q0ONK4,B009H3LN8Y,4.0
A1VTIQMM5L2ZK9,B002VWOMZ4,5.0
AER15RIMV8E6D,B0007Y08I8,5.0
A34D06JL7LC6MU,B001U0HB5Q,4.0
A5Q1FK0FWU7DH,B0027CSMY0,5.0
A39CX0EE4BZCZC,6300182177,4.0
A2ZW2ZE26SN1YP,B00068S404,5.0
A2FTHCGH06O4Y5,B0041KKYGU,2.0
A3MCC5MAJYJYMD,0792842111,2.0
ARYSE5JQ3AG7L,B002HRF68A,5.0
ADKKDZGDVEVWZ,B008JFUS5A,4.0
A24ZFFRQ4MG3XL,B000PY52CW,5.0
A2WMEDQT6EL5FM,6304216939,5.0
AQSQLWD3NLMAS,0792101448,4.0
A8CT2FDCZI2BT,B0072GPPNC,5.0
A1ALOIPRR8Q06J,B000MR9D5E,5.0
A1D3HQWSVEMBAV,079283920X,4.0
A3CSB6EGX7D2Q9,B005LAJ1H2,3.0
AYZLXLVMJGTJV,6302409365,4.0
APOGXH3A74CM3,B005NKIPWC,4.0
A3EXWV8FNSSFL6,B0034G4OT0,4.0
A3N2OITBFW3FUF,6301767772,5.0
A1LZ4Q5FQ6IUM2,0767809688,4.0
A14W8HXP3RM3ZS,B000VECAE4,5.0
A2K2PML6QPYJ9O,B00GSBMNOQ,5.0
ADOLBUXJDEIZB,B000TSTEM8,5.0
A1GFB47CXP4LKR,B00008K2XP,5.0
AW3FTPCBPVQNB,0790736527,4.0
A10ODC971MDHV8,B000A0GOFA,5.0
A17HH30G598AQZ,0783216084,5.0
A2CSP7YMA58A6N,B000H5U5V2,1.0
ASXW7UQXGMNJL,B002JCSWV6,4.0
ACIBQ6BQ6AWEV,0783225997,4.0
A17CLMFNV7BUK6,B001UV4XIS,5.0
A19DA28EYATC0K,B0007Y08P6,5.0
A1O3B5X4RZDKSF,B0027BOL46,1.0
A1P4J7OWPC305Z,B000063RQO,5.0
A17BUUBOU0598B,B000YABYLA,5.0
AV657BUYHHXZ2,0784011923,4.0
A2CT2SA6KFE8GC,6300182975,4.0
A2TAAFL2CH550H,6302533953,5.0
AA5HLEE8ND8TJ,6302787556,5.0
A2VWAOHAJ70Q1B,B00BEIYHO2,1.0
A12FDPTQO9FVOZ,B000CELOW2,5.0
A1LG4Z0HBKK3RD,B0058YPILY,5.0
AIMR915K4YCN,B00008EY9G,5.0
A18MBO1U4DPY20,B000CS464G,4.0
A3TGPVYI64CO5Z,B00005JM3A,5.0
A1AAONUBMRL034,B001LM64VA,5.0
A2XXBZPQT5EXHV,B0090SI3HU,5.0
A106016KSI0YQ,6301969391,4.0
A461VTLW9G9YB,B00001IVFE,4.0
A3AOKQCH0YBZDS,B00151QYSK,4.0
AW99SBGWEXP0J,B000TGJ8A8,3.0
A3JJA7N685ASZG,B00005JL78,5.0
A3VSX2TJM78WMT,B000A88F22,2.0
A1YPKKJJA53OXA,6303314015,5.0
A1TJLSSL0J0ZHA,B009934S5M,5.0
A1AO3L476K5SI0,6305161518,3.0
A178KV00J5LEKS,B000GYI336,5.0
A3AVCOOCE94ZZ2,B00AW0KHTM,5.0
A82LIVYSX6WZ9,6304078145,1.0
A1ZH9LWMX5UCFJ,6301404440,5.0
A3OMPSEVL59ZDK,B00005JMYI,2.0
A1IGN5VTOULKKE,6302637899,5.0
A3UH3X6PZ7WCWG,6304277385,3.0
A3CF7B2U0IB8PS,076781505X,1.0
A3EE0H0NWQ9QVL,B000AMJFYA,4.0
A1IOJE0W1NXOSE,B000N6U0DS,5.0
A6A38ESR48ZPK,0792833201,5.0
A3ENMP8DVOL2DP,B00BEIYOHC,5.0
A322JP0BITPDZY,B000E1EHPY,5.0
A293C0BJJY3RFV,6304490135,3.0
A2TOU0N8XE68W4,B000035P6X,4.0
A2W2ODLRQ2L8LE,B001P9KR8U,3.0
A3RB6NQOLOBXYD,6304613113,5.0
A2USVHVMB9KNEB,B00018U9FW,3.0
A1NLZVP501JM5Z,B00005JPKE,5.0
AHABFECTNE15I,B000H2M2RA,1.0
A1X054KUYG5V,0790742403,4.0
A2H44WVZS59KKT,6303212379,5.0
A2198FZZMTJ38H,0792151712,5.0
AOIK5Y70IZXY9,B004EPYZU8,1.0
A20MVQCB90LKCH,B0006H32G6,5.0
A3OHZODU6YHOZ3,6304366035,4.0
A19EKT8H85AKO5,6302229847,5.0
A1ZO30Z16MQ7Y7,B00008WFTU,5.0
A1ER6IYOMM8VCT,0792140923,5.0
AZ741XAKITJXJ,B008JFUO72,4.0
A11XKY4EIU2KNR,0780621964,1.0
A11PTCZ2FM2547,B00005JLXE,4.0
A1D1WEINYMOFOA,B0000640VO,4.0
A3ITTX33YHDJSE,B001AZIRZO,5.0
A11MGPEYU3VO1U,B002ZG99QS,3.0
AYY4JXFYYANFR,B003FSTN52,5.0
A2B3Z2QHW3V35S,6305013608,5.0
A1CHSP7NKY3YB2,B001GCVK0A,5.0
A2DG8H7ES1DZ0C,B000ASDFIG,3.0
A301GVC4E53T7H,B003L77H1E,5.0
A3Q45IUR47CCAU,6300269299,3.0
A143O79A5RFJV7,B0000AMRUL,1.0
AL5P6IG4WZ57J,B0092Q82LC,5.0
A2P1951EAG7AZ4,6304727127,5.0
A2RPPG5T4Z1GOA,B000J3OTSM,5.0
A321QDKGBFFHMT,B00005JL3T,4.0
ADCC3WHSZNW1R,B007REV4LQ,4.0
A1L3JKXFHGJ9TS,B00000FYPB,5.0
A126KX6FVI4T66,6303209963,3.0
A3TPHG1RZTBEGT,B00015HVI8,5.0
A3HA58B2YQV4YF,B005K1VPY4,5.0
A3MOJSA8HC2BIF,B000K7VHOQ,5.0
AVFG5LVO31P6L,B00008K2XP,5.0
A29UTKLAFGIP89,B000H7J9JE,1.0
A3L2U581LL17EB,B00005UWAC,2.0
A3AGZNJMFJ8XUA,0790749068,5.0
A1E481YU3ZPK6S,6302800587,5.0
A1X15AQVSCKKRG,B00005JNTI,5.0
A7HD7SGI1R937,B00006AGHD,4.0
A386XNRSFX87ZM,1566053986,5.0
A2NCGZ61AN5HX7,B000GIXEW2,4.0
A2TY359PR45ATP,6301773586,5.0
A313H6238N589,B00003CXBK,2.0
A1D9V11QUHXENQ,630266523X,5.0
A1MJMYLRTZ76ZX,0792101448,5.0
A2OTVNYVIVMM9J,B002ZG9864,3.0
A2ZGVH5DNCK8I4,6304214502,5.0
A397ZY5HX2NCY4,B0000EYUCU,4.0
A22Z554ZQ8NFPC,6300213986,5.0
AQVBOVE8P7K3J,6305470448,4.0
A1QAZ8GZVR5F4H,B008JFUPFI,5.0
A1PL8JA0TEHBVN,B0013D8L7M,4.0
ARFCORBCTKX1J,6304293941,5.0
A2M7BMDU8BPXYN,0792836634,2.0
A13IKSGDYNBNQS,6303985637,4.0
A1QIL7847ET6HX,B0038SUBDC,5.0
A320BTSBIAO9AM,B000AP04EW,1.0
A3DM6UGX44NJ9K,6304198841,5.0
A32Z0G8WC39V0O,B002BWP49C,1.0
A2TLZM2Y3581HU,B000GB775E,2.0
A27H9DOUGY9FOS,B0077PBPVE,3.0
A3LVWAIK5YN22G,B008JFUS8M,5.0
A2XRZV63X79YSJ,B00003L9C1,5.0
